,Country,Region,Year,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
542,Montenegro,Rest of Europe,2002,12.9,138.1465,10.24,91,25.4,92,91,0.02,4529,10.3,0,1,73.2
543,Albania,Rest of Europe,2011,12.1,80.349,5.03,99,26.2,99,99,0.03,3678,9.3,0,1,76.9
544,Kuwait,Middle East,2005,11.4,81.8995,0.013,99,28.7,99,99,0.13,39850,5.8,0,1,73.5
545,"Gambia, The",Africa,2001,108.7,298.2375,3.28,91,22.1,85,87,1.71,747,2.1,0,1,56.4
546,Kiribati,Oceania,2015,57.6,198.449,0.35,82,30.0,80,78,0.17,1535,7.9,0,1,67.3
547,Burundi,Africa,2012,80.3,306.3965,4.33,96,21.4,96,96,0.4,319,2.7,0,1,58.6
548,"Micronesia, Fed. Sts.",Oceania,2006,34.6,175.731,1.73,84,29.1,81,67,0.17,3042,6.3,0,1,65.7
549,Angola,Africa,2007,147.0,297.0245,4.68,73,22.5,43,73,1.45,2845,4.5,0,1,52.2
550,Israel,Middle East,2008,4.9,64.414,2.59,99,26.8,94,94,0.08,31718,12.6,1,0,81.0
551,El Salvador,Central America and Caribbean,2013,16.8,187.4335,2.35,92,27.4,92,92,0.19,3591,6.6,0,1,71.9
552,Montenegro,Rest of Europe,2006,9.7,128.5365,10.38,90,25.8,90,90,0.03,5436,10.7,0,1,73.8
553,El Salvador,Central America and Caribbean,2007,22.6,203.491,2.73,99,26.8,99,99,0.27,3308,5.8,0,1,70.5
554,United States,North America,2012,7.1,104.536,8.85,90,28.6,93,94,0.13,54213,13.3,1,0,78.7
555,Bulgaria,European Union,2006,12.4,156.0375,10.18,96,25.7,96,95,0.02,5629,10.4,1,0,72.6
556,Brazil,South America,2015,15.9,144.3625,6.63,96,26.5,98,96,0.24,8814,7.6,0,1,75.0
557,Spain,European Union,2013,3.5,59.454,8.55,95,26.0,96,96,0.09,24361,9.5,1,0,83.1
558,Guyana,South America,2015,33.1,209.372,5.48,95,26.3,92,95,0.59,5577,8.4,0,1,69.3
559,Oman,Middle East,2001,15.4,126.257,0.54,99,25.5,99,99,0.05,21296,5.6,0,1,72.6
560,Dominican Republic,Central America and Caribbean,2012,35.0,165.809,5.49,74,26.1,85,85,0.46,5969,7.5,0,1,72.5
561,Angola,Africa,2006,156.4,307.785,4.02,67,22.4,8,34,1.48,2589,4.5,0,1,51.1
562,Cambodia,Asia,2000,106.3,259.469,0.6,84,20.7,62,59,0.81,487,3.2,0,1,58.4
563,Ghana,Africa,2005,83.0,279.54,0.56,84,23.2,85,84,1.31,1176,6.4,0,1,58.7
564,Canada,North America,2001,6.2,79.395,7.6,14,26.4,88,89,0.1,34227,11.2,1,0,79.3
565,Japan,Asia,2000,4.5,72.954,7.96,83,22.5,98,85,0.17,31431,10.7,1,0,81.1
566,Brazil,South America,2007,21.8,161.982,6.91,99,25.5,99,99,0.25,7937,6.5,0,1,72.6
567,Saudi Arabia,Middle East,2002,19.6,105.2955,0.056,97,27.6,95,95,0.13,16095,7.0,0,1,72.9
568,Mongolia,Asia,2011,24.4,225.0725,6.65,99,25.6,99,99,0.02,3028,9.8,0,1,67.8
569,Dominican Republic,Central America and Caribbean,2011,35.0,167.619,5.47,80,26.0,84,84,0.49,5881,7.4,0,1,72.3
570,Brazil,South America,2014,16.3,146.3165,6.91,96,26.3,96,93,0.24,9215,7.4,0,1,74.7
571,Ukraine,Rest of Europe,2013,10.2,201.674,8.73,46,26.4,72,76,0.24,2466,11.3,0,1,71.2
572,Poland,European Union,2013,5.2,119.573,10.8,96,26.4,95,99,0.08,11656,12.1,1,0,77.0
573,Ukraine,Rest of Europe,2009,12.3,230.8795,8.97,66,26.2,74,71,0.3,2215,11.3,0,1,69.2
574,Costa Rica,Central America and Caribbean,2003,11.8,96.955,4.05,86,26.1,88,88,0.14,8158,7.9,0,1,77.9
575,El Salvador,Central America and Caribbean,2000,33.2,220.1275,2.65,99,26.0,98,99,0.41,2993,5.2,0,1,68.9
576,Chad,Africa,2014,132.3,365.883,0.68,37,21.8,44,37,0.42,780,2.2,0,1,52.8
577,Tonga,Oceania,2007,14.0,147.075,2.05,87,31.7,99,87,0.17,3817,9.8,0,1,69.9
578,Somalia,Africa,2010,157.4,326.1265,0.0,42,22.8,49,45,0.13,296,2.1,0,1,54.0
579,China,Asia,2015,10.7,82.273,5.66,99,23.7,99,99,0.1,8016,7.7,0,1,75.9
580,Albania,Rest of Europe,2002,24.4,87.182,3.96,96,25.3,98,98,0.02,2247,9.0,0,1,74.6
581,Uruguay,South America,2007,12.6,115.7035,6.51,94,26.4,94,94,0.2,11245,8.2,0,1,76.3
582,Russian Federation,Rest of Europe,2006,12.8,292.2095,11.83,98,26.0,98,98,0.08,7950,11.4,0,1,66.7
583,Cyprus,European Union,2010,3.4,57.4125,11.33,96,26.7,99,99,0.06,26020,11.5,1,0,79.4
584,Eritrea,Africa,2015,46.3,255.781,1.03,95,20.7,95,95,0.1,9011,3.9,0,1,64.7
585,Panama,Central America and Caribbean,2002,24.8,124.3705,4.94,98,25.8,99,99,0.4,6881,8.7,0,1,75.4
586,"Bahamas, The",Central America and Caribbean,2001,16.4,187.537,11.38,90,26.8,98,99,0.9,36178,10.9,0,1,72.0
587,"Yemen, Rep.",Middle East,2007,65.6,244.445,0.05,79,23.0,79,79,0.02,2555,2.2,0,1,64.5
588,Panama,Central America and Caribbean,2004,23.5,124.7005,4.97,95,26.0,92,95,0.4,7427,8.9,0,1,75.7
589,Guinea,Africa,2007,126.6,304.0,0.19,57,22.4,46,63,1.03,684,1.6,0,1,54.9
590,Kuwait,Middle East,2015,8.8,58.1365,0.0,99,29.5,99,99,0.13,29870,7.1,0,1,75.1
591,Finland,European Union,2002,4.1,97.1345,9.25,88,25.8,95,98,0.08,39351,9.5,1,0,78.1
592,Croatia,European Union,2007,6.2,106.427,11.36,95,26.3,96,96,0.02,12550,10.1,1,0,75.7
593,St. Lucia,Central America and Caribbean,2004,18.3,163.506,12.58,91,27.6,91,91,0.4,9800,7.4,0,1,74.0
594,Burkina Faso,Africa,2001,174.9,325.735,5.53,86,21.0,62,62,0.83,456,1.3,0,1,50.9
595,United States,North America,2009,7.5,107.0105,8.67,92,28.4,93,95,0.13,51996,13.2,1,0,78.4
596,Cabo Verde,Africa,2010,26.3,133.3605,4.93,98,24.2,99,99,0.26,3011,5.1,0,1,71.1
597,Poland,European Union,2004,7.8,142.2675,9.19,98,25.7,99,99,0.08,8275,11.6,1,0,74.8
598,Canada,North America,2015,5.4,65.9695,8.0,55,26.9,91,91,0.1,43596,13.1,1,0,81.9
599,Ethiopia,Africa,2005,108.9,338.17,0.21,52,20.1,56,44,0.65,310,1.9,0,1,56.2
600,"Venezuela, RB",South America,2010,17.1,148.2105,7.4,78,26.6,74,78,0.4,13825,8.9,0,1,73.1
601,Namibia,Africa,2014,47.9,328.32,2.59,88,24.1,88,88,4.5,4782,6.7,0,1,61.4
602,Ukraine,Rest of Europe,2010,11.7,213.7115,7.77,48,26.3,57,52,0.28,2315,11.3,0,1,70.3
603,Equatorial Guinea,Africa,2009,115.3,332.154,7.2,46,23.4,59,43,4.39,15906,5.5,0,1,55.3
604,Mongolia,Asia,2010,26.3,230.153,7.73,96,25.4,96,96,0.02,2630,9.5,0,1,67.4
605,United States,North America,2001,8.3,114.2395,8.25,89,27.7,89,94,0.13,48727,12.7,1,0,76.8
606,Belarus,Rest of Europe,2002,10.9,260.3945,11.78,99,25.8,99,99,0.08,2912,9.1,0,1,68.1
607,Myanmar,Asia,2011,61.0,204.845,1.09,40,22.2,90,84,0.32,963,4.3,0,1,64.0
608,Grenada,Central America and Caribbean,2015,16.2,141.3,8.2,92,26.9,99,92,0.4,9097,8.7,0,1,72.4
609,Nigeria,Africa,2002,171.5,411.5985,11.09,29,22.5,40,25,1.21,1685,5.2,0,1,46.8
610,China,Asia,2007,20.1,99.551,3.89,92,22.9,94,93,0.1,4319,7.0,0,1,73.6
611,"Venezuela, RB",South America,2011,17.2,147.169,6.88,78,26.6,78,78,0.4,10956,9.8,0,1,73.1
612,Antigua and Barbuda,Central America and Caribbean,2009,10.6,139.537,7.64,98,26.0,98,99,0.1,15402,9.3,0,1,75.7
613,Timor-Leste,Oceania,2008,67.7,171.0075,0.062,79,20.5,79,79,0.07,1020,4.0,0,1,66.3
614,Afghanistan,Asia,2006,104.1,271.4905,0.026,64,22.3,58,58,0.02,354,2.7,0,1,58.8
615,Peru,South America,2009,20.8,134.0135,5.04,93,25.9,92,93,0.16,4819,8.4,0,1,74.1
616,Guyana,South America,2011,36.7,215.255,5.64,93,25.9,93,93,0.62,5089,8.2,0,1,68.3
617,Senegal,Africa,2010,65.7,211.9,0.18,89,22.7,76,89,0.19,1150,2.4,0,1,64.3
618,"Egypt, Arab Rep.",Africa,2011,27.5,157.823,0.19,96,28.9,96,96,0.13,3473,6.7,0,1,70.5
619,Angola,Africa,2001,198.4,361.129,1.94,67,21.8,28,38,1.36,1847,4.4,0,1,47.1
620,Italy,European Union,2014,3.6,51.776,7.56,95,25.6,95,95,0.07,29980,10.1,1,0,83.1
621,Slovak Republic,European Union,2011,6.8,120.157,10.27,99,26.1,99,99,0.01,14890,12.1,1,0,76.0
622,Algeria,Africa,2013,25.8,98.739,0.5,95,25.3,95,95,0.03,4043,7.8,0,1,75.7
623,United Kingdom,Rest of Europe,2005,6.0,79.5075,11.38,88,26.7,91,91,0.08,43137,12.2,1,0,79.0
624,El Salvador,Central America and Caribbean,2003,28.1,213.592,2.91,94,26.4,93,94,0.35,3060,5.7,0,1,69.7
625,Cameroon,Africa,2009,114.3,365.4865,5.72,80,23.9,79,80,2.13,1247,5.2,0,1,54.6
626,Albania,Rest of Europe,2015,9.6,75.205,4.33,99,26.6,99,99,0.03,3953,9.7,0,1,78.0
627,Cameroon,Africa,2014,92.4,345.615,4.7,87,24.2,84,87,1.24,1344,6.0,0,1,57.1
628,Lesotho,Africa,2015,94.6,513.4755,3.07,93,24.9,85,93,10.0,1146,6.1,0,1,51.0
629,Rwanda,Africa,2004,118.6,368.1215,7.83,89,21.2,89,89,2.27,425,2.7,0,1,53.6
630,Switzerland,Rest of Europe,2005,5.1,65.1225,10.15,88,25.0,94,94,0.08,76785,12.0,1,0,81.2
631,Mozambique,Africa,2010,104.9,382.0835,0.79,74,22.3,73,74,3.5,480,3.2,0,1,52.3
632,Cambodia,Asia,2002,86.7,243.8905,0.75,84,20.8,54,54,0.51,539,3.3,0,1,60.3
633,Liberia,Africa,2006,121.0,294.2555,4.06,58,23.5,66,60,3.5,578,3.8,0,1,56.4
634,Suriname,South America,2003,28.2,207.3055,4.7,84,25.6,74,75,0.96,6816,7.7,0,1,68.3
635,Namibia,Africa,2001,75.3,470.342,2.29,83,23.0,79,78,11.07,3111,5.8,0,1,51.4
636,Uganda,Africa,2013,62.3,321.4315,8.12,78,22.2,78,78,2.45,821,5.4,0,1,59.9
637,Nepal,Asia,2008,50.8,186.7545,0.2,82,21.6,82,82,0.17,675,3.1,0,1,66.7
638,Saudi Arabia,Middle East,2015,9.1,87.974,0.0,98,28.4,97,98,0.13,20628,9.5,0,1,74.7
639,India,Asia,2015,43.5,177.9465,3.0,87,21.7,86,87,0.06,1606,6.3,0,1,68.6
640,Czechia,European Union,2012,3.2,92.0385,12.83,99,26.9,99,99,0.08,16607,12.4,1,0,78.1
641,Luxembourg,European Union,2002,4.0,98.426,12.88,95,25.7,99,99,0.07,96270,10.7,1,0,78.0
642,Cameroon,Africa,2010,110.1,362.5215,5.88,84,24.0,83,84,1.87,1248,5.3,0,1,55.1
643,Cyprus,European Union,2004,4.8,64.721,13.03,88,26.5,98,98,0.04,24798,10.5,1,0,78.5
644,Montenegro,Rest of Europe,2009,7.4,118.42,10.17,87,26.0,91,92,0.03,5834,11.0,0,1,75.1
645,Peru,South America,2007,23.4,137.505,4.51,93,25.7,93,93,0.18,4439,8.1,0,1,73.5
646,Djibouti,Africa,2002,96.1,323.2315,1.11,88,23.6,62,62,1.78,791,3.4,0,1,57.2
647,Colombia,South America,2013,16.6,142.829,4.32,91,26.0,91,91,0.2,5867,7.8,0,1,76.1
648,Indonesia,Asia,2012,31.2,181.1225,0.08,83,22.7,87,83,0.2,2981,7.6,0,1,69.9
649,South Africa,Africa,2004,77.7,501.4985,7.2,76,26.5,73,74,11.64,5374,8.8,0,1,53.4
650,Lithuania,European Union,2015,4.9,165.233,14.2,94,26.4,93,93,0.09,14264,13.0,1,0,74.3
651,Czechia,European Union,2004,4.6,114.2985,13.42,98,26.6,96,98,0.08,14070,11.6,1,0,75.7
652,Italy,European Union,2008,4.1,60.1245,7.96,96,25.7,96,96,0.08,33530,9.5,1,0,81.5
653,New Zealand,Oceania,2011,6.0,70.233,9.45,95,27.7,95,95,0.04,35916,12.0,1,0,80.9
654,Nigeria,Africa,2010,135.5,376.179,5.22,49,23.0,54,54,0.75,2404,5.2,0,1,50.9
655,Thailand,Asia,2010,13.6,160.1755,6.19,98,23.8,99,99,0.23,5164,7.7,0,1,74.2
656,Bulgaria,European Union,2008,11.4,148.4445,10.73,96,25.8,96,95,0.03,6460,10.5,1,0,73.0
657,Central African Republic,Africa,2004,162.5,532.8745,1.6,45,21.9,45,51,3.09,459,3.2,0,1,44.4
658,Honduras,Central America and Caribbean,2001,35.3,169.61,2.61,95,24.9,99,96,0.43,1791,4.4,0,1,71.0
659,Haiti,Central America and Caribbean,2008,83.2,271.8455,3.49,60,24.3,64,63,0.95,1339,4.6,0,1,59.8
660,Austria,European Union,2013,3.9,67.3475,12.1,95,25.5,95,95,0.08,44299,11.9,1,0,81.1
661,Dominican Republic,Central America and Caribbean,2000,40.0,186.951,6.72,68,24.9,71,78,1.02,4209,6.4,0,1,69.4
662,Djibouti,Africa,2003,93.6,317.1835,0.52,88,23.6,68,68,1.16,819,3.5,0,1,57.4
663,Rwanda,Africa,2001,167.4,432.824,9.27,91,21.0,76,77,2.9,361,2.4,0,1,49.9
664,Ghana,Africa,2013,59.8,251.5445,1.78,90,23.8,91,90,0.88,1768,6.9,0,1,62.1
665,Malta,European Union,2005,7.0,59.577,6.14,85,27.1,94,92,0.08,18134,9.8,1,0,79.3
666,Chile,South America,2003,9.5,103.6575,6.37,94,26.9,96,96,0.14,9233,9.4,0,1,77.1
667,Saudi Arabia,Middle East,2013,10.2,90.265,0.0,98,28.3,98,98,0.13,20176,9.5,0,1,74.4
668,Colombia,South America,2014,16.0,141.448,4.22,90,26.0,90,90,0.19,6069,8.0,0,1,76.3
669,St. Vincent and the Grenadines,Central America and Caribbean,2007,21.1,167.402,6.2,99,26.3,99,99,0.4,7154,8.1,0,1,71.6
670,Namibia,Africa,2003,74.4,495.7265,2.29,83,23.2,82,79,9.74,3298,5.8,0,1,50.6
671,Togo,Africa,2003,109.5,333.358,0.89,81,22.4,72,72,2.13,522,4.1,0,1,53.9
672,"Yemen, Rep.",Middle East,2014,58.7,223.9525,0.03,73,23.6,67,73,0.03,2283,3.0,0,1,66.1
673,Bosnia and Herzegovina,Rest of Europe,2012,6.7,100.353,4.83,92,25.5,87,92,0.08,4216,8.3,0,1,76.4
674,St. Lucia,Central America and Caribbean,2014,21.4,138.0705,9.18,99,29.6,99,99,0.4,10280,8.7,0,1,75.4
675,Maldives,Asia,2002,30.7,117.6445,1.82,98,23.4,98,98,0.17,6832,3.2,0,1,71.7
676,Armenia,Rest of Europe,2013,15.6,128.387,3.92,95,26.2,96,95,0.08,3407,11.4,0,1,74.1
677,Uganda,Africa,2005,107.1,441.99,11.3,64,21.6,59,64,3.78,610,4.4,0,1,51.7
678,Cyprus,European Union,2009,3.5,58.8095,10.81,96,26.7,99,99,0.05,26182,11.3,1,0,79.2
679,Afghanistan,Asia,2002,121.1,298.8855,0.02,64,21.9,36,36,0.02,320,2.3,0,1,56.8
680,Tonga,Oceania,2008,13.7,145.4525,1.1,84,31.7,99,86,0.17,3967,10.1,0,1,69.9
681,Zimbabwe,Africa,2003,91.6,703.0,1.96,70,23.4,70,68,10.27,1291,6.8,0,1,43.2
682,Luxembourg,European Union,2000,4.5,100.072,13.21,77,25.6,99,99,0.06,92528,10.3,1,0,77.9
683,Antigua and Barbuda,Central America and Caribbean,2010,10.0,137.808,7.16,98,26.1,99,98,0.1,13987,9.2,0,1,75.8
684,Burkina Faso,Africa,2004,159.5,311.4595,5.51,86,21.3,83,79,0.63,491,1.3,0,1,52.6
685,St. Lucia,Central America and Caribbean,2006,18.6,154.8585,13.02,85,28.0,85,85,0.4,10141,7.6,0,1,74.3
686,Solomon Islands,Oceania,2006,28.9,190.4555,1.01,99,25.4,99,99,0.17,1871,4.9,0,1,69.5
687,Turkmenistan,Asia,2015,42.2,189.928,3.36,99,26.4,99,99,0.08,6433,9.8,0,1,67.7
688,Qatar,Middle East,2005,10.4,63.957,1.08,97,28.0,98,97,0.05,57624,8.8,0,1,78.3
689,Nigeria,Africa,2005,155.0,397.18,11.24,18,22.7,45,36,1.05,1948,5.2,0,1,48.3
690,Kenya,Africa,2009,59.9,302.9805,1.17,88,22.8,89,88,2.21,1261,6.1,0,1,59.9
691,Lesotho,Africa,2008,113.0,569.1065,2.91,88,24.5,86,88,14.53,962,5.4,0,1,43.4
692,Indonesia,Asia,2004,49.6,190.6185,0.054,64,22.0,79,71,0.2,2109,7.3,0,1,67.0
693,Vietnam,Asia,2002,27.4,137.514,0.82,89,20.1,92,75,0.26,1295,5.8,0,1,73.4
694,Bahrain,Middle East,2003,11.3,81.7285,2.04,98,25.4,97,97,0.05,22336,8.4,0,1,75.0
695,Paraguay,South America,2003,31.6,164.433,4.49,86,25.3,86,86,0.17,3816,7.0,0,1,71.2
696,Antigua and Barbuda,Central America and Caribbean,2015,7.8,130.0025,9.06,99,26.6,86,99,0.2,14285,9.2,0,1,76.5
697,Burundi,Africa,2000,154.5,355.0185,7.17,87,20.6,71,80,1.55,307,1.8,0,1,49.1
698,Fiji,Oceania,2006,23.4,207.4675,2.07,99,26.8,98,98,0.05,4620,9.3,0,1,66.4
699,Malawi,Africa,2015,53.3,294.858,2.04,88,22.8,88,88,2.59,381,4.4,0,1,62.0
700,Guinea,Africa,2005,134.7,318.5825,0.2,57,22.2,59,59,1.15,661,1.6,0,1,53.2
701,Comoros,Africa,2014,74.7,229.794,0.13,88,24.2,87,87,0.01,1258,4.8,0,1,63.2
702,Rwanda,Africa,2013,52.0,215.093,6.15,98,21.9,98,98,0.75,683,3.8,0,1,66.2
703,Antigua and Barbuda,Central America and Caribbean,2011,9.5,136.0795,7.24,99,26.2,99,99,0.1,13525,9.2,0,1,76.0
704,Turkmenistan,Asia,2007,47.4,210.7895,2.23,98,25.4,98,98,0.08,3353,9.9,0,1,65.7
705,Vanuatu,Oceania,2008,28.8,150.659,1.17,61,25.8,70,67,0.17,2877,6.6,0,1,68.8
706,United Kingdom,Rest of Europe,2008,5.6,78.4095,10.66,88,26.9,92,92,0.08,44121,12.8,1,0,79.6
707,Kyrgyz Republic,Asia,2008,33.7,213.764,7.29,97,25.6,95,95,0.21,966,10.3,0,1,68.5
708,Italy,European Union,2013,3.7,53.267,7.35,96,25.6,96,96,0.07,30258,10.3,1,0,82.7
709,Czechia,European Union,2014,3.1,83.987,12.75,99,27.0,99,97,0.08,16951,12.8,1,0,78.8
710,St. Vincent and the Grenadines,Central America and Caribbean,2014,17.4,155.902,7.12,98,27.0,97,98,0.4,7029,8.6,0,1,72.0
711,Tanzania,Africa,2001,121.9,448.1755,6.25,93,22.2,65,87,4.25,587,4.3,0,1,51.4
712,Morocco,Africa,2001,50.1,146.7395,0.45,84,24.7,93,96,0.06,1870,3.5,0,1,69.2
713,Estonia,European Union,2009,5.0,153.3555,14.66,95,26.1,95,95,0.08,14205,12.4,1,0,74.8
714,El Salvador,Central America and Caribbean,2011,18.5,192.7545,2.31,89,27.2,90,89,0.21,3447,6.5,0,1,71.4
715,Moldova,Rest of Europe,2010,17.1,197.1175,6.92,98,26.6,97,90,0.42,2255,11.1,0,1,69.6
716,Myanmar,Asia,2015,52.2,196.053,1.47,89,22.6,89,89,0.28,1197,4.9,0,1,65.8
717,Nepal,Asia,2013,39.4,163.2835,0.28,92,22.1,92,92,0.17,821,4.2,0,1,68.8
718,Tanzania,Africa,2010,71.9,316.531,6.95,91,22.8,94,91,2.48,808,5.1,0,1,58.6
719,Belarus,Rest of Europe,2010,5.6,223.1685,14.43,96,26.3,99,98,0.22,5622,12.0,0,1,70.4
720,Jamaica,Central America and Caribbean,2000,22.2,168.4155,3.77,98,25.5,95,93,0.87,4841,7.3,0,1,74.1
721,Rwanda,Africa,2006,93.9,312.9135,8.79,99,21.4,99,99,1.86,488,2.9,0,1,57.1
722,Tajikistan,Asia,2003,65.2,164.6845,0.74,58,24.4,82,85,0.02,556,10.6,0,1,64.5
723,Tonga,Oceania,2011,12.9,140.5855,0.93,82,31.9,99,82,0.17,4043,10.9,0,1,70.1
724,"Congo, Rep.",Africa,2013,56.2,277.011,1.9,85,23.0,85,85,2.08,2499,6.3,0,1,62.0
725,Myanmar,Asia,2014,54.1,197.7265,1.36,88,22.5,88,88,0.29,1168,4.8,0,1,65.4
726,"Micronesia, Fed. Sts.",Oceania,2002,35.9,182.694,2.79,85,28.9,84,84,0.17,2984,5.3,0,1,64.9
727,Seychelles,Africa,2015,14.8,151.6085,8.7,98,26.6,97,97,3.5,15158,9.5,0,1,74.3
728,Bhutan,Asia,2011,40.0,223.746,0.25,95,23.4,95,95,0.14,2387,2.3,0,1,68.8
729,Solomon Islands,Oceania,2010,26.4,169.032,1.09,87,25.8,84,90,0.17,2099,5.1,0,1,70.7
730,Senegal,Africa,2002,115.1,250.933,0.22,87,22.3,60,60,0.64,1061,2.4,0,1,58.7
731,Thailand,Asia,2001,20.9,196.2075,5.84,95,23.0,97,96,0.6,3605,6.3,0,1,70.8
732,Netherlands,European Union,2015,4.0,58.0775,8.3,94,25.5,95,95,0.04,45193,12.1,1,0,81.5
733,Portugal,European Union,2014,3.6,76.9805,10.2,98,25.7,98,98,0.13,18833,8.9,1,0,81.1
734,"Yemen, Rep.",Middle East,2004,76.9,247.6745,0.06,43,22.7,72,72,0.02,2472,1.7,0,1,62.9
735,Suriname,South America,2014,20.9,171.5365,5.39,85,26.4,76,85,0.51,9593,8.2,0,1,71.1
736,Guinea-Bissau,Africa,2011,109.1,284.733,3.19,86,23.1,85,86,2.22,617,2.7,0,1,55.1
737,Zambia,Africa,2008,88.7,442.735,2.66,87,22.0,90,87,6.29,1068,6.5,0,1,52.6
738,"Gambia, The",Africa,2003,99.8,293.086,3.63,94,22.4,87,87,1.55,724,2.2,0,1,57.2
739,United Arab Emirates,Middle East,2011,8.4,72.9945,1.75,95,28.1,95,95,0.13,33246,10.0,0,1,76.5
740,Burundi,Africa,2015,67.6,294.187,3.99,94,21.6,94,94,0.27,306,2.9,0,1,60.1
741,United Arab Emirates,Middle East,2009,8.9,75.597,1.76,93,27.9,94,93,0.13,34580,9.7,0,1,76.1
742,Hungary,European Union,2008,6.5,166.717,11.75,88,26.6,99,99,0.08,11937,11.5,1,0,73.7
743,Malawi,Africa,2013,63.4,315.314,2.02,89,22.7,89,89,3.32,370,4.4,0,1,59.9
744,Eritrea,Africa,2000,85.2,370.455,0.88,87,20.1,82,81,0.7,828,3.7,0,1,55.3
745,Italy,European Union,2012,3.8,55.1645,7.48,96,25.7,96,97,0.07,31185,9.9,1,0,82.2
746,Oman,Middle East,2011,11.6,96.52,0.5,99,26.0,99,99,0.05,19868,8.3,0,1,75.9
747,Nepal,Asia,2006,56.3,197.587,0.19,69,21.3,91,89,0.17,629,2.9,0,1,65.8
748,Serbia,Rest of Europe,2009,7.8,130.945,9.78,93,25.7,97,95,0.02,5148,10.4,0,1,74.0
749,France,European Union,2013,4.1,77.9145,11.73,74,25.0,99,99,0.1,36205,11.2,1,0,82.2
750,Greece,European Union,2010,3.9,74.8405,8.33,95,27.1,99,99,0.1,21560,10.3,1,0,80.4
751,Guyana,South America,2003,43.2,226.301,8.75,90,25.0,91,90,0.93,3966,7.8,0,1,66.1
752,Nigeria,Africa,2009,138.3,379.9755,10.58,63,22.9,66,63,0.79,2286,5.2,0,1,50.4
753,Bolivia,South America,2011,39.2,196.6465,3.3,95,26.0,95,95,0.18,2603,8.0,0,1,68.5
754,Australia,Oceania,2010,4.8,62.169,10.52,92,26.9,92,92,0.05,53543,12.4,1,0,81.7
755,Jordan,Middle East,2009,20.7,116.897,0.56,98,28.5,98,98,0.13,4782,9.9,0,1,73.3
756,Timor-Leste,Oceania,2010,61.5,164.1365,0.1,72,20.7,72,72,0.08,1186,4.4,0,1,67.2
757,Timor-Leste,Oceania,2003,91.2,234.413,0.44,75,20.1,55,55,0.05,934,3.0,0,1,61.9
758,Paraguay,South America,2014,23.0,146.1335,5.39,87,26.5,93,87,0.14,5329,8.2,0,1,73.5
759,Suriname,South America,2002,29.1,212.234,4.58,84,25.6,74,73,0.98,6488,7.7,0,1,68.1
760,China,Asia,2011,14.6,90.7325,5.36,99,23.3,99,99,0.1,6153,7.4,0,1,74.7
761,Serbia,Rest of Europe,2012,7.1,121.4185,8.78,97,25.9,93,91,0.02,5344,10.5,0,1,74.8
762,"Yemen, Rep.",Middle East,2013,58.4,226.386,0.04,73,23.5,67,73,0.03,2348,3.0,0,1,66.0
763,Mozambique,Africa,2015,84.0,332.583,1.22,88,22.7,88,80,3.5,590,3.5,0,1,57.2
764,Poland,European Union,2002,8.4,143.4055,8.02,98,25.5,98,99,0.08,7607,11.4,1,0,74.5
765,Bulgaria,European Union,2015,8.2,136.0675,10.89,92,26.4,91,91,0.03,7075,11.8,1,0,74.6
766,China,Asia,2005,24.0,102.5235,2.92,84,22.8,87,87,0.1,3391,6.9,0,1,73.0
767,France,European Union,2006,4.5,89.724,13.05,39,25.0,99,99,0.11,35826,10.6,1,0,80.8
768,Czechia,European Union,2008,3.7,104.5205,13.65,99,26.7,99,99,0.08,17047,12.2,1,0,77.0
769,Sierra Leone,Africa,2015,140.2,397.8705,3.06,86,22.7,86,86,0.85,588,3.4,0,1,52.9
770,Qatar,Middle East,2013,8.4,57.8825,1.03,97,28.8,99,97,0.06,62733,9.9,0,1,79.5
771,Burkina Faso,Africa,2013,108.3,267.2085,5.49,88,22.0,89,88,0.23,639,1.4,0,1,58.9
772,Sao Tome and Principe,Central America and Caribbean,2002,71.0,217.479,5.93,70,23.7,92,92,1.08,1087,4.3,0,1,62.7
773,Mauritius,Africa,2007,15.2,157.4485,3.23,97,24.9,96,97,1.05,6939,7.6,0,1,72.6
774,Kazakhstan,Asia,2014,13.0,193.594,3.64,95,26.3,95,95,0.14,10539,11.7,0,1,71.4
775,Argentina,South America,2012,13.3,121.2325,8.0,91,27.3,90,91,0.14,13896,9.8,0,1,75.6
776,Ireland,European Union,2001,6.9,89.055,14.04,95,26.4,84,84,0.05,43139,11.0,1,0,77.1
777,"Congo, Rep.",Africa,2014,54.4,269.618,1.9,90,23.1,90,90,2.06,2603,6.3,0,1,62.6
778,Guinea,Africa,2010,117.7,290.8,0.2,64,22.6,62,64,0.93,689,1.6,0,1,56.9
779,Tonga,Oceania,2001,16.5,156.677,1.34,91,31.3,95,89,0.17,3790,9.1,0,1,69.7
780,Rwanda,Africa,2009,69.6,259.5265,7.3,97,21.6,93,97,1.09,573,3.3,0,1,62.1
781,Mongolia,Asia,2005,40.9,252.831,5.17,98,24.8,99,99,0.02,2068,8.6,0,1,65.1
782,Seychelles,Africa,2001,13.7,178.6415,6.84,96,25.5,96,96,3.5,10915,7.5,0,1,73.3
